Localidad,Imagen,Planta,Flor,PC1S,PC2S,PC3S,PC4S,PC5S,PC6S,PC7S,PC8S,PC9S,PC10S,PC1A,PC2A,PC3A,PC4A,PC5A,PC6A,PC7A,PC8A,PC9A,PC10A
CC020,CC020_P01_F010a_190115_SEF_pm.mat,1,10,-58.49616443,47.56852856,-6.858011973,21.23511323,8.293973545,3.271448435,-4.464597381,-3.80992883,-5.58959825,-3.236584569,13732.91268,165.28621,-1780.03754,1936.973529,60.71321752,771.7398469,1150.931742,-1116.465101,543.0859008,118.8102092
CC020,CC020_P01_F010b_190115_SEF_pm.mat,1,10,-11.12872546,32.44340548,-18.34563294,4.373567631,9.065760924,-8.832370139,-4.542747103,0.222471855,1.694235667,0.054122958,13430.18478,28.04934028,-165.7859966,2523.050859,293.1248774,-177.4981259,1660.796081,-626.5217767,689.3581584,652.8593659
CC020,CC020_P01_F010c_190115_SEF_pm.mat,1,10,-23.07182116,50.05572303,12.04171185,-0.489136277,13.01509394,-1.658960168,0.928883034,4.962343988,5.937843189,-7.221287867,10235.47,4.943197171,-1995.756396,2186.899318,-157.9445887,-200.9245181,280.0721758,-924.6766068,62.77563827,1232.035934
CC020,CC020_P01_F011a_190115_SEF_pm.mat,1,11,-30.19639233,40.71554779,-10.08515514,34.69803889,-3.161247481,-7.323825695,-5.502520325,0.074922202,0.818792581,-1.016175799,16137.0672,-856.6981601,-1620.833328,1182.35369,344.6744506,689.3312848,861.2846799,-456.0891652,-10.77189683,461.2857596
CC020,CC020_P01_F011b_190115_SEF_pm.mat,1,11,-26.68051923,63.25158308,-7.494768572,24.09076405,-3.367866871,-1.845844512,3.72506683,-0.465925455,2.252686983,0.129019425,12619.98128,211.7562424,-1148.208582,2156.998776,27.42857617,427.2208641,107.7226354,-550.5566066,83.89023076,225.6719894
CC020,CC020_P01_F011c_190115_SEF_pm.mat,1,11,1.81173762,41.04997505,-3.772615729,15.97531124,-10.56437694,0.104571513,5.727575723,3.922466314,-0.176708675,0.347447712,13231.78797,-537.7725859,-896.3158972,1133.810336,1286.518206,-103.6891924,601.1784532,-305.7230696,846.4338041,242.945155
CC020,CC020_P01_F012a_190115_SEF_pm.mat,1,12,-33.2460142,44.0043224,0.957984847,22.73534293,-14.90984305,-4.392449544,-1.154150268,4.849280475,-0.895167256,-7.079103337,10322.54665,-144.4338908,-1156.732201,471.3584396,-372.2899529,-954.7536963,844.4217465,345.777077,356.8004191,46.96140194
CC020,CC020_P01_F012b_190115_SEF_pm.mat,1,12,-49.91703376,46.50602462,-5.966424218,20.94853685,-6.049624404,-2.928096603,0.653671727,8.064641811,-0.748520638,-4.137922244,6029.760045,1301.577942,-1360.602991,2753.554263,813.4813223,-1673.659135,920.439633,193.1942703,559.5239072,226.6321382
CC020,CC020_P01_F012c_190115_SEF_pm.mat,1,12,-46.43737094,62.9499542,11.39622516,16.22890025,9.047983664,-2.463813643,-9.776443621,-4.087235259,-5.714966004,0.27845667,13426.76151,-193.024594,-1273.414211,1689.142125,1404.861948,76.84668895,-73.95470439,53.13604143,-531.097588,238.240342
CC020,CC020_P02_F007a_181213_SEF_pm.mat,2,7,-106.9423844,-9.13749147,-1.845697733,21.21483241,1.763670886,-4.95424429,2.956973794,3.311305779,-1.528693216,0.354482264,16691.60453,-1160.509585,-218.3690184,1467.100276,-151.1657082,653.4060301,1253.51169,-453.4304192,277.6294275,-257.2204273
CC020,CC020_P02_F007b_181213_SEF_pm.mat,2,7,-111.3547006,-4.996395169,6.793877366,21.24370124,-7.130351649,-6.262405255,4.315212088,6.931179399,5.02975755,-0.326520635,14958.26977,-687.3463954,-377.4573553,1651.471193,-2166.713223,111.6468268,1777.600423,-415.0323483,104.0774079,-92.02307621
CC020,CC020_P02_F007c_181213_SEF_pm.mat,2,7,-106.1663259,-7.626943564,-3.291668704,12.25805061,1.875351251,-8.184578331,0.45434233,6.10524508,-1.310458234,-1.007131009,16810.58213,-1277.721132,-1121.553858,1181.855445,-61.2157693,1218.188494,880.0067092,-152.6776999,94.80251165,121.8098604
CC020,CC020_P02_F008a_181213_SEF_pm.mat,2,8,-40.72631589,-5.33792342,3.461926262,16.01575258,0.244928437,-2.542551329,-1.93499291,1.603194803,-0.379808384,0.093551265,13847.68993,-1257.090456,-1805.858855,1257.89976,-994.9751413,186.3144725,1172.289446,-308.7440519,612.132298,-515.5706148
