 ,X,Y
1,-0.176,0.800
2,-0.881,5.260
3,-0.068,0.773
4,1.640,4.609
5,0.081,0.732
6,2.711,4.338
7,0.230,0.691
8,3.782,4.094
9,0.285,0.569
10,4.785,2.128
11,0.407,0.407
12,5.422,2.061
13,0.407,0.258
14,6.182,1.505
15,0.447,0.068
16,6.466,0.908
17,0.447,-0.095
18,5.870,-1.179
19,0.420,-0.312
20,5.693,-1.518
21,0.380,-0.474
22,4.568,-2.671
23,0.285,-0.569
24,4.067,-2.833
25,0.190,-0.624
26,1.844,-4.189
27,0.081,-0.664
28,-1.789,-3.728
29,-0.095,-0.664
30,-1.938,-3.348
31,-0.230,-0.664
32,-2.277,-3.863
33,-0.380,-0.556
34,-3.606,-2.562
35,-0.461,-0.461
36,-4.528,-1.857
37,-0.529,-0.339
38,-5.422,-0.339
39,-0.569,-0.176
40,-5.693,-0.136
41,-0.610,0.027
42,-5.707,0.556
43,-0.610,0.203
44,-5.395,0.786
45,-0.556,0.420
46,-4.501,2.372
47,-0.474,0.583
48,-3.091,3.958
49,-0.393,0.759
50,-2.386,4.338
