"Localidad","Planta","Areola","X_1","Y_1","X_2","Y_2","Num_esp","long_esp","dist_are","posicion"
"CC020","P01","A01",-0.115,0.168,4.664,1.761,"1",5.03750831264823,0.203590274816849,"sup"
"CC020","P01","A01",-0.15,-0.221,5.398,-3.177,"2",6.28635347399428,0.267097360526082,"inf"
"CC020","P01","A02",-0.037,0.192,4.514,1.524,"1",4.74192207865123,0.195532605976599,"sup"
"CC020","P01","A02",-0.053,-0.151,4.889,-2.904,"2",5.65706399115301,0.160031246948838,"inf"
"CC020","P01","A03",-0.076,0.147,5.075,2.895,"1",5.83817651326165,0.1654841382127,"sup"
"CC020","P01","A03",-0.017,-0.332,6.285,-2.727,"2",6.74175266529409,0.332434956044036,"inf"
"CC020","P01","A04",0.078,0.248,6.128,2.751,"1",6.54732838644893,0.259976922052708,"sup"
"CC020","P01","A04",-0.035,-0.343,5.746,-3.508,"2",6.59068934179119,0.344781089968693,"inf"
"CC020","P01","A05",0.037,0.275,6.1,2.15,"1",6.34630553944576,0.277477927050063,"sup"
"CC020","P01","A05",0.002,-0.327,6.676,-3.113,"2",7.23215541868398,0.327006116150753,"inf"
"CC020","P01","A06",-0.012,0.279,5.778,2.566,"1",6.22530874736346,0.279257945276406,"sup"
"CC020","P01","A06",-0.121,-0.204,5.62,-4.014,"2",6.89022358127804,0.237185581349289,"inf"
"CC020","P01","A07",0.021,0.231,5.859,2.365,"1",6.21580244216304,0.231952581360932,"sup"
"CC020","P01","A07",0.055,-0.29,5.381,-4.692,"2",6.90969463869425,0.295169442862909,"inf"
"CC020","P01","A08",0.032,0.21,5.281,2.557,"1",5.74981825799738,0.212424104093674,"sup"
"CC020","P01","A08",-0.051,-0.224,5.114,-3.135,"2",5.9288401901215,0.229732453084017,"inf"
"CC020","P01","A09",0.039,0.233,5.852,2.291,"1",6.16654952140985,0.236241401959944,"sup"
"CC020","P01","A09",0.03,-0.319,6.507,-2.463,"2",6.82262889215,0.320407552969651,"inf"
"CC020","P01","A10",0.081,0.242,5.258,2.292,"1",5.56810820656352,0.255196003103497,"sup"
"CC020","P01","A10",-0.014,-0.308,5.745,-3.168,"2",6.43006073066188,0.308318017637633,"inf"
"CC020","P02","A01",0.039,0.259,5.543,2.877,"1",6.09491099196699,0.26191983506409,"sup"
"CC020","P02","A01",0.013,-0.337,6.96,-3.62,"2",7.68367737479913,0.33725064862799,"inf"
"CC020","P02","A02",0.093,0.267,5.304,1.503,"1",5.35557812005389,0.282733089680002,"sup"
"CC020","P02","A02",0.044,-0.267,5.578,-2.907,"2",6.13145627074026,0.270601182554696,"inf"
"CC020","P02","A03",-0.014,0.237,4.471,2.311,"1",4.94132583422709,0.237413142011979,"sup"
"CC020","P02","A03",0.019,-0.241,4.792,-2.85,"2",5.43952295702482,0.241747802471915,"inf"
"CC020","P02","A04",-0.004,0.189,4.66,3.054,"1",5.47367527352509,0.18904232330354,"sup"
"CC020","P02","A04",0.054,-0.219,5.751,-1.643,"2",5.87227255838828,0.225559304840213,"inf"
"CC020","P02","A05",-0.053,0.191,4.507,1.731,"1",4.81302399744693,0.198217052747739,"sup"
"CC020","P02","A05",0,-0.214,5.224,-2.166,"2",5.57678043318903,0.214,"inf"
"CC020","P02","A06",0.034,0.211,4.519,2.276,"1",4.93755506298411,0.213721781763114,"sup"
"CC020","P02","A06",-0.014,-0.24,5.422,-2.084,"2",5.74024668459466,0.240407986556187,"inf"
"CC020","P02","A07",-0.008,0.232,4.511,2.589,"1",5.09674503972879,0.232137890056751,"sup"
"CC020","P02","A07",-0.048,-0.188,5.213,-2.972,"2",5.95220774167031,0.194030925370158,"inf"
"CC020","P02","A08",-0.029,0.298,5.678,2.335,"1",6.05963843805883,0.299407748730723,"sup"
"CC020","P02","A08",-0.077,-0.24,6.898,-3.228,"2",7.58806754055339,0.252049598293669,"inf"
"CC020","P02","A09",-0.018,0.137,6.725,3.008,"1",7.32875773920792,0.138177422178878,"sup"
"CC020","P02","A09",0.018,-0.232,6.571,-5.57,"2",8.4519851514304,0.232697228174295,"inf"
"CC020","P02","A10",0.003,0.2,5.897,5.151,"1",7.69750849301253,0.200022498734517,"sup"
"CC020","P02","A10",0.015,-0.265,7.794,-4.596,"2",8.90339272412489,0.26542418879974,"inf"
"CC020","P03","A01",0.012,0.188,6.314,2.083,"1",6.5807468421145,0.188382589429066,"sup"
"CC020","P03","A01",-0.036,-0.293,7.603,-3.391,"2",8.24329576079859,0.295203319764531,"inf"
"CC020","P03","A02",0.019,0.229,6.817,2.464,"1",7.15597854943683,0.229786857761709,"sup"
"CC020","P03","A02",-0.023,-0.195,7.058,-3.337,"2",7.7467880440864,0.196351725227969,"inf"
"CC020","P03","A03",-0.041,0.151,6.222,2.1,"1",6.55925071940386,0.156467248969233,"sup"
"CC020","P03","A03",-0.049,-0.226,7.389,-2.492,"2",7.77551284482252,0.231250945944011,"inf"
"CC020","P03","A04",-0.008,0.216,6.865,2.224,"1",7.16032073303983,0.216148097377701,"sup"
"CC020","P03","A04",0.016,-0.212,7.865,-3.132,"2",8.37455676439058,0.212602916254693,"inf"
"CC020","P03","A05",0.021,0.233,6.173,1.919,"1",6.37884785835185,0.233944437847964,"sup"
