"Localidad","Planta","Areola","A","B","C","D","E","F","G","H","I","J","K","L","num_esp_rad","larg_esp_rad","anch_esp_rad","ind_esp_rad","inf","sup","prop_inf_sup","num_esp_cen","larg_are","anch_are","ind_are","PC1S","PC2S","PC3S","PC4S","PC5S","PC6S","PC7S","PC8S","PC9S","PC10S","PC1A","PC2A","PC3A","PC4A","PC5A","PC6A","PC7A","PC8A","PC9A","PC10A","group_gen"
"CC020","P01","A01",1.8563878032051,1.7189200140587,2.7418114275011,3.03461286812174,2.27289155042646,2.35293784146627,2.42589441999877,2.65866903414935,2.83370517167894,3.091988680445,2.95591064397604,2.09287443528644,25,6.09288121652243,6.01808133222615,1.01242919132643,6.28635347399428,5.03750831264823,0.801340289483826,2,1.25669002069777,0.69707974496583,1.80279233441128,-58.49616443,47.56852856,-6.858011973,21.23511323,8.293973545,3.271448435,-4.464597381,-3.80992883,-5.58959825,-3.236584569,13732.91268,165.28621,-1780.03754,1936.973529,60.71321752,771.7398469,1150.931742,-1116.465101,543.0859008,118.8102092,"M_haageana"
"CC020","P01","A02",2.09796497395175,2.00764787749247,2.66024522839636,2.89890910516353,2.32346909790901,2.18833082302898,2.12646314663117,2.20845709675239,2.25309231945786,2.75846843431942,2.42862308799808,1.93262543442999,25,5.84845447924643,5.62162301164046,1.0403498183952,5.65706399115301,4.74192207865123,0.838230234988864,2,1.21242090546651,0.781114734810107,1.55216750041369,-11.12872546,32.44340548,-18.34563294,4.373567631,9.065760924,-8.832370139,-4.542747103,0.222471855,1.694235667,0.054122958,13430.18478,28.04934028,-165.7859966,2523.050859,293.1248774,-177.4981259,1660.796081,-626.5217767,689.3581584,652.8593659,"M_haageana"
"CC020","P01","A03",2.19226225989886,2.79806963613886,3.20231692542481,3.21587468661327,2.62503420589824,2.6380416979267,2.68303764452929,2.81105516877956,2.70097611985001,2.63806552208657,3.07904936628174,2.67398239392073,27,7.25741321421997,5.84229543250775,1.24221948343081,6.74175266529409,5.83817651326165,0.865973108642213,2,1.24062061609333,0.765836527108653,1.61995487571895,-23.07182116,50.05572303,12.04171185,-0.489136277,13.01509394,-1.658960168,0.928883034,4.962343988,5.937843189,-7.221287867,10235.47,4.943197171,-1995.756396,2186.899318,-157.9445887,-200.9245181,280.0721758,-924.6766068,62.77563827,1232.035934,"M_haageana"
"CC020","P01","A04",2.44250196229514,2.7055232675069,3.2008898539884,3.16807151644288,2.45996930875164,2.65238148967075,2.59004978273466,2.62524756432291,2.77243160420595,2.89058615531472,2.87899033336498,2.67844781357236,25,7.4635909647978,5.89588029803263,1.26589933776103,6.59068934179119,6.54732838644893,0.993420877074677,2,1.24298341165224,0.794715582296056,1.56406070214588,-30.19639233,40.71554779,-10.08515514,34.69803889,-3.161247481,-7.323825695,-5.502520325,0.074922202,0.818792581,-1.016175799,16137.0672,-856.6981601,-1620.833328,1182.35369,344.6744506,689.3312848,861.2846799,-456.0891652,-10.77189683,461.2857596,"M_haageana"
"CC020","P01","A05",2.00526761446339,2.02266837475566,2.51931394571291,3.02465353387789,2.95605836404436,2.53149126918311,2.48239084194836,2.65842281755303,2.6884845173443,2.56892526166099,2.49570449359066,2.17779473610336,26,6.77959363221667,5.60891175973983,1.20871818324543,7.23215541868398,6.34630553944576,0.87751232821274,2,1.2812796160377,0.910646619253842,1.40699980535539,-26.68051923,63.25158308,-7.494768572,24.09076405,-3.367866871,-1.845844512,3.72506683,-0.465925455,2.252686983,0.129019425,12619.98128,211.7562424,-1148.208582,2156.998776,27.42857617,427.2208641,107.7226354,-550.5566066,83.89023076,225.6719894,"M_haageana"
"CC020","P01","A06",1.7167895838483,1.95116552016806,2.43772040654347,2.67001198499183,2.65229845075743,2.11978482952654,2.1539447682093,2.38827962922772,2.63295974143168,2.66173214279724,2.42019620659021,2.07121853104078,25,6.47739074830747,4.82769154462569,1.3417159502492,6.89022358127804,6.22530874736346,0.903498801443647,2,1.30247575997418,0.830152773397434,1.56895911416853,1.81173762,41.04997505,-3.772615729,15.97531124,-10.56437694,0.104571513,5.727575723,3.922466314,-0.176708675,0.347447712,13231.78797,-537.7725859,-896.3158972,1133.810336,1286.518206,-103.6891924,601.1784532,-305.7230696,846.4338041,242.945155,"M_haageana"
"CC020","P01","A07",2.11691790272079,2.38069841202651,3.0284972314961,3.01441636142056,2.34634040780118,2.41427422828908,2.44433179901312,2.60569318992087,2.88943494569068,3.08164404174136,2.86891873467184,2.48343902958961,26,6.83744046193688,5.74078886412571,1.19102803182053,6.90969463869425,6.21580244216304,0.899577009865904,2,1.27860783147142,0.739896551089859,1.72809000067381,-33.2460142,44.0043224,0.957984847,22.73534293,-14.90984305,-4.392449544,-1.154150268,4.849280475,-0.895167256,-7.079103337,10322.54665,-144.4338908,-1156.732201,471.3584396,-372.2899529,-954.7536963,844.4217465,345.777077,356.8004191,46.96140194,"M_haageana"
"CC020","P01","A08",1.8000591397755,2.00727449968449,2.59452565507353,2.68304994362759,2.38323810910212,2.27517797162003,2.25066910613397,2.313856875561,2.30186989206601,2.55384475811148,2.44257498478946,1.84545169495361,23,5.7727646748953,5.39052459312765,1.07090962580061,5.9288401901215,5.74981825799738,0.969804898364034,2,1.08670444487401,0.735862424733781,1.47677664784576,-49.91703376,46.50602462,-5.966424218,20.94853685,-6.049624404,-2.928096603,0.653671727,8.064641811,-0.748520638,-4.137922244,6029.760045,1301.577942,-1360.602991,2753.554263,813.4813223,-1673.659135,920.439633,193.1942703,559.5239072,226.6321382,"M_haageana"
"CC020","P01","A09",1.84303407747371,2.21467570157824,2.82876988759841,2.59049358231207,2.27001872238975,2.3206860029528,2.44589944876751,2.42428387182369,2.30320320423535,2.259495740204,2.21580116821191,2.0348074918385,23,5.94192552512751,5.54754159495654,1.07109165806517,6.82262889215,6.16654952140985,0.90383774625423,2,1.21796086703469,0.78064725522833,1.56019361994484,-46.43737094,62.9499542,11.39622516,16.22890025,9.047983664,-2.463813643,-9.776443621,-4.087235259,-5.714966004,0.27845667,13426.76151,-193.024594,-1273.414211,1689.142125,1404.861948,76.84668895,-73.95470439,53.13604143,-531.097588,238.240342,"M_haageana"
"CC020","P01","A10",1.7916599338635,2.08184170469359,2.65831619639199,2.82719737549397,2.83957336879921,2.4560662019491,2.15800048510432,2.57882900435064,2.69357398933728,2.84006643661476,2.42942064468842,1.99852467678928,25,6.35429642473076,5.34859722051037,1.18803046158791,6.43006073066188,5.56810820656352,0.86594955161339,2,1.14630235319262,0.721775917315259,1.58816929976889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M_haageana"
"CC020","P02","A01",2.20206268485256,2.7674502643783,3.54002474931697,3.23599273793994,3.2381483906702,2.98442143171096,3.08886748439634,3.13302290572301,3.17391887104885,3.67274352494154,3.21877049500312,2.95758808094078,28,8.10926154978475,5.78117196898409,1.40270201151096,7.68367737479913,6.09491099196699,0.7932283846218,2,1.24923149934423,0.650718050195729,1.91977385438821,-106.9423844,-9.13749147,-1.845697733,21.21483241,1.763670886,-4.95424429,2.956973794,3.311305779,-1.528693216,0.354482264,16691.60453,-1160.509585,-218.3690184,1467.100276,-151.1657082,653.4060301,1253.51169,-453.4304192,277.6294275,-257.2204273,"M_haageana"
"CC020","P02","A02",1.83810835121027,2.38276862663311,2.81163884594021,2.41557024986769,2.13612927164704,2.32820628786335,2.27256807250821,2.3904381960551,2.74604333541916,2.5783609134487,2.6555332713286,2.07358819041092,29,6.60446014686987,4.76944631770034,1.38474357544595,6.13145627074026,5.35557812005389,0.873459400764397,2,1.23213619258784,0.713990278165097,1.72570443921777,-111.3547006,-4.996395169,6.793877366,21.24370124,-7.130351649,-6.262405255,4.315212088,6.931179399,5.02975755,-0.326520635,14958.26977,-687.3463954,-377.4573553,1651.471193,-2166.713223,111.6468268,1777.600423,-415.0323483,104.0774079,-92.02307621,"M_haageana"
"CC020","P02","A03",2.24798460757939,2.66183422521661,2.82888617432593,2.52837433065338,2.50016056919301,2.46205122513717,2.43819517593909,2.49195142652599,2.67078115913678,2.59778617287875,2.95649252901358,2.79207780958694,28,6.96693150680562,5.36825582437734,1.29780169476437,5.43952295702482,4.94132583422709,0.908411615001213,2,1.1355988294122,0.647482271904846,1.75386860565519,-106.1663259,-7.626943564,-3.291668704,12.25805061,1.875351251,-8.184578331,0.45434233,6.10524508,-1.310458234,-1.007131009,16810.58213,-1277.721132,-1121.553858,1181.855445,-61.2157693,1218.188494,880.0067092,-152.6776999,94.80251165,121.8098604,"M_haageana"
"CC020","P02","A04",2.29827377284993,2.68937910520245,2.86575618542596,2.56054400792268,2.30219569107407,2.46207580702227,2.3163880008617,2.15631197217447,2.31603648503213,2.54331850236954,2.57361623797318,2.33314352114405,27,6.70743293484285,5.22592041836582,1.28349312616213,5.87227255838828,5.47367527352509,0.93212214165812,2,1.18951596478938,0.803730895635643,1.47999283248734,-40.72631589,-5.33792342,3.461926262,16.01575258,0.244928437,-2.542551329,-1.93499291,1.603194803,-0.379808384,0.093551265,13847.68993,-1257.090456,-1805.858855,1257.89976,-994.9751413,186.3144725,1172.289446,-308.7440519,612.132298,-515.5706148,"M_haageana"
