,Id,n_cen_spin
1,CC020_P01_A1,2
2,CC020_P01_A10,2
3,CC020_P01_A2,2
4,CC020_P01_A3,2
5,CC020_P01_A4,2
6,CC020_P01_A5,2
7,CC020_P01_A6,2
8,CC020_P01_A7,2
9,CC020_P01_A8,2
10,CC020_P01_A9,2
11,CC020_P02_A1,2
12,CC020_P02_A10,2
13,CC020_P02_A2,2
14,CC020_P02_A3,2
15,CC020_P02_A4,2
16,CC020_P02_A5,2
17,CC020_P02_A6,2
18,CC020_P02_A7,2
19,CC020_P02_A8,2
20,CC020_P02_A9,2
21,CC020_P03_A1,2
22,CC020_P03_A10,2
23,CC020_P03_A2,2
24,CC020_P03_A3,2
25,CC020_P03_A4,2
26,CC020_P03_A5,2
27,CC020_P03_A6,2
28,CC020_P03_A7,2
29,CC020_P03_A8,2
30,CC020_P03_A9,2
31,CC020_P04_A1,2
32,CC020_P04_A10,2
33,CC020_P04_A2,2
34,CC020_P04_A3,2
35,CC020_P04_A4,2
36,CC020_P04_A5,2
37,CC020_P04_A6,2
38,CC020_P04_A7,2
39,CC020_P04_A8,2
40,CC020_P04_A9,2
41,CC020_P05_A1,1
42,CC020_P05_A10,1
43,CC020_P05_A2,1
44,CC020_P05_A3,1
45,CC020_P05_A4,1
46,CC020_P05_A5,1
47,CC020_P05_A6,1
48,CC020_P05_A7,1
49,CC020_P05_A8,1
50,CC020_P05_A9,1
51,CC021_P01_A1,2
52,CC021_P01_A10,2
53,CC021_P01_A2,2
54,CC021_P01_A3,2
55,CC021_P01_A4,2
56,CC021_P01_A5,2
57,CC021_P01_A6,2
58,CC021_P01_A7,2
59,CC021_P01_A8,2
60,CC021_P01_A9,2
61,CC021_P02_A1,2
62,CC021_P02_A10,2
63,CC021_P02_A2,2
64,CC021_P02_A3,3
65,CC021_P02_A4,2
66,CC021_P02_A5,2
67,CC021_P02_A6,2
68,CC021_P02_A7,2
69,CC021_P02_A8,3
70,CC021_P02_A9,2
71,CC021_P03_A1,2
72,CC021_P03_A10,2
73,CC021_P03_A2,2
74,CC021_P03_A3,2
75,CC021_P03_A4,2
76,CC021_P03_A5,2
77,CC021_P03_A6,2
78,CC021_P03_A7,2
79,CC021_P03_A8,2
80,CC021_P03_A9,2
81,CC021_P04_A1,2
82,CC021_P04_A10,2
83,CC021_P04_A2,2
84,CC021_P04_A3,2
85,CC021_P04_A4,2
86,CC021_P04_A5,2
87,CC021_P04_A6,2
88,CC021_P04_A7,2
89,CC021_P04_A8,2
90,CC021_P04_A9,2
91,CC021_P05_A1,2
92,CC021_P05_A10,2
93,CC021_P05_A2,2
94,CC021_P05_A3,2
95,CC021_P05_A4,2
96,CC021_P05_A5,2
97,CC021_P05_A6,2
98,CC021_P05_A7,2
99,CC021_P05_A8,2
100,CC021_P05_A9,2
101,CC022_P01_A1,2
102,CC022_P01_A10,2
103,CC022_P01_A2,2
104,CC022_P01_A3,2
105,CC022_P01_A4,2
106,CC022_P01_A5,2
107,CC022_P01_A6,2
108,CC022_P01_A7,2
109,CC022_P01_A8,2
110,CC022_P01_A9,2
111,CC022_P02_A1,1
